,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp
0,0.22142212,0.24210042,0,0.7173977,0.82091445,1.4855403,1.5404383
1,0.8255585,0.8605366,1,0.29707775,0.23164243,2.7463648,3.1944652
2,0.7420334,0.73192906,2,0.6474382,0.8928858,2.932945,2.3529348
3,0.5592819,0.7521532,3,0.57099885,0.96595156,2.0474331,2.056539
4,0.80051786,0.69552416,4,0.17478916,0.21421695,2.816071,3.478768
5,0.7276194,0.86238563,5,0.7552129,0.5798594,2.2453754,1.7988005
6,0.26709437,0.19453841,6,0.19318709,0.47953504,2.6294162,3.0584364
7,0.5092333,0.8631013,7,0.62837225,0.5776405,5.623262,6.3407784
8,0.73575807,0.6891348,8,0.36729315,0.3990149,5.2260976,3.5826905
9,0.8280654,0.82680815,9,0.28539413,0.2784757,6.6295233,6.822095
10,0.8660007,0.74658585,10,0.23326956,0.22313994,4.4019084,4.35721
11,0.73042727,0.63621205,11,0.3793773,0.35671622,6.424933,6.9903774
12,0.48835456,0.39289433,12,0.613816,0.63782585,6.154718,3.9176998
13,0.56595826,0.44907683,13,0.38698217,0.38998944,6.598627,6.8030295
14,0.3587288,0.44418442,14,0.57282674,0.80440646,2.551681,1.8297392
15,0.8100292,0.7953685,15,0.5867675,0.48451555,1.5370483,1.1537389
16,0.6193607,0.2762217,16,0.3452217,0.33749896,7.1114035,6.969863
17,0.62043667,0.864144,17,0.7772324,0.7088041,2.1556666,1.7698197
18,0.49858168,0.6364257,18,0.8459478,0.7556178,6.427961,6.4631753
19,0.8370034,0.8167967,19,0.12227066,0.16667634,3.29375,2.9972308
20,0.36499512,0.1964283,20,0.70614916,0.15263444,1.6954017,1.4601991
21,0.044204485,0.038614273,21,0.0485274,0.047291756,2.5094135,2.9424386
22,0.13566256,0.079191625,22,0.46633053,0.5200284,6.385972,6.188509
23,0.30111888,0.3650812,23,0.51672685,0.63269854,1.098248,1.1331255
24,0.77936304,0.94903517,24,0.366639,0.33799976,6.003703,6.288283
25,0.79292375,0.84767145,25,0.907918,0.95743906,5.6755934,6.7715597
26,0.5342641,0.85766095,26,0.03258021,0.0397231,4.434805,4.4773436
27,0.61876893,0.9120546,27,0.25249705,0.26895368,3.804207,4.571857
28,0.7495493,0.78924245,28,0.37438232,0.38575166,4.9067144,4.9502015
29,0.14612769,0.16567087,29,0.3076182,0.26471233,5.029267,3.7252123
30,0.2893078,0.3854351,30,0.12494426,0.127024,5.4699745,5.5219975
31,0.4731665,0.85119283,31,0.80592835,0.85154146,4.537626,6.250994
32,0.5726953,0.33310986,32,0.8284582,0.77344006,6.3168035,6.8085823
33,0.096446,0.024775207,33,0.2625139,0.2018528,3.7309752,4.391139
34,0.1357783,0.22378975,34,0.66142666,0.57740456,6.787291,6.979085
35,0.33330998,0.2770003,35,0.66700804,0.72424227,1.586374,1.3051338
36,0.5085988,0.39988577,36,0.5724481,0.8794123,2.0325596,2.1757224
37,0.63305163,0.80559987,37,0.73758703,0.8860056,2.070229,2.6890526
38,0.16458456,0.1405006,38,0.92191535,0.9513674,6.760804,6.3054895
39,0.30914643,0.4097749,39,0.552945,0.60710347,2.4889934,2.6611252
40,0.7977448,0.80739313,40,0.47902724,0.38854533,5.3113494,5.947445
41,0.13894217,0.07889211,41,0.64598924,0.707966,1.4509599,1.0545658
42,0.7958225,0.9471451,42,0.71450114,0.70337135,3.7012167,4.0070333
43,0.8412776,0.91969854,43,0.17698863,0.17631787,2.603719,1.7672791
44,0.5464175,0.58764267,44,0.49467462,0.411601,2.0532947,1.4205908
45,0.76590407,0.6160297,45,0.22831397,0.21726018,2.3920894,2.9268324
46,0.81442654,0.81063074,46,0.20158179,0.2244705,4.7288566,5.667903
47,0.78011537,0.9198006,47,0.7505265,0.681825,6.3611655,5.661222
48,0.23507133,0.13148588,48,0.064441815,0.07028699,3.1430438,2.5792594
49,0.76231956,0.39428878,49,0.32286018,0.28452653,4.341928,3.9363887
50,0.47037616,0.37921637,50,0.28124824,0.17087519,2.891162,2.3142774
51,0.84495217,0.7777961,51,0.059739113,0.059776723,2.8264189,2.3855262
52,0.5046935,0.7442629,52,0.10899124,0.09873521,3.863,4.6697865
53,0.32071862,0.3796131,53,0.5700918,0.5356892,6.702538,6.614041
54,0.6501179,0.82338375,54,0.2876311,0.20411539,2.535329,2.1543047
55,0.10430901,0.12938839,55,0.5666575,0.35717213,4.008638,3.172564
56,0.3333679,0.2682081,56,0.65099555,0.7140695,5.3601727,4.8926573
57,0.3047624,0.28380537,57,0.7299426,0.76851857,6.3077626,6.4222355
58,0.37066555,0.32698923,58,0.19469655,0.1833663,3.1158555,4.093966
59,0.12512353,0.11852151,59,0.11338065,0.08146125,5.3380647,5.176098
60,0.8562256,0.9574403,60,0.6451401,0.5448678,2.340208,2.5872617
61,0.61334574,0.692486,61,0.25623468,0.22599167,1.703891,1.8941308
62,0.77919996,0.86269605,62,0.89509755,0.9673001,6.2000604,5.777016
63,0.32319126,0.24096006,63,0.26392218,0.21018934,3.1159487,2.891191
64,0.21076222,0.15293133,64,0.45041814,0.5673301,3.811899,4.245448
65,0.44376108,0.37715614,65,0.6198582,0.8454195,1.1896406,1.4388866
66,0.11275798,0.05516714,66,0.19532883,0.04971713,1.357185,1.2852669
67,0.85531217,0.95360374,67,0.53702444,0.47289288,5.2158136,5.3456078
68,0.76880646,0.89075226,68,0.21980765,0.18674564,4.8823104,3.8189652
69,0.6963684,0.4649155,69,0.031778365,0.014039755,2.5644615,3.3259196
70,0.09203926,0.0877009,70,0.8677649,0.98006403,4.8500075,4.868079
71,0.7188274,0.7343683,71,0.59200406,0.54097885,4.123442,4.4597187
72,0.71623844,0.9526263,72,0.9134276,0.9948911,4.080516,3.868435
73,0.22615923,0.45354885,73,0.8878579,0.99675226,6.5212436,5.879807
74,0.7574033,0.8411531,74,0.08220151,0.09129441,6.179338,4.7080283
75,0.6204147,0.4269318,75,0.35918573,0.25489455,3.9285815,3.4115577
76,0.7613213,0.8037414,76,0.570105,0.5467034,5.789983,6.102402
77,0.86413926,0.94095474,77,0.732252,0.8608083,1.9068213,1.153461
78,0.70480156,0.8027079,78,0.68627924,0.564494,4.0901504,5.5030727
79,0.5296503,0.4289518,79,0.8260527,0.80832976,6.140247,6.858482
80,0.7610857,0.8272879,80,0.6627549,0.5769789,2.6299667,2.4129615
81,0.15132768,0.109464586,81,0.74089104,0.9045029,1.62351,2.836402
82,0.10148388,0.05063069,82,0.43455654,0.44032204,6.626829,6.4243317
83,0.7330158,0.7488736,83,0.88874143,0.9431867,5.625612,5.3540087
84,0.50697327,0.66238743,84,0.5863378,0.23240769,2.2890732,1.3938291
85,0.4195238,0.3311367,85,0.53879935,0.5841138,4.5159187,4.8650804
86,0.5279288,0.45003188,86,0.4314336,0.47785038,2.9246464,3.8411355
87,0.3822934,0.46258968,87,0.6943805,0.78619695,4.1799254,5.0488935
88,0.73421997,0.6035623,88,0.48029688,0.48301667,5.0409894,5.2307324
89,0.80324805,0.88331,89,0.2919272,0.29037797,5.317453,6.266988
90,0.5440393,0.27687258,90,0.4588344,0.47967404,5.470589,6.8813605
91,0.1999823,0.718967,91,0.012217496,0.005212128,2.9287777,4.558132
92,0.4485052,0.30328417,92,0.636251,0.5961604,3.4674585,3.3899279
93,0.5020019,0.82248706,93,0.021964338,0.012738645,5.295292,5.2898498
94,0.80110663,0.91244596,94,0.44443998,0.3360119,1.8833287,1.5675622
95,0.566157,0.36022598,95,0.14606234,0.17932117,4.46399,3.8335547
96,0.67804736,0.5737707,96,0.17567474,0.0675295,2.058119,2.1720195
97,0.07521744,0.07831365,97,0.84117407,0.8196972,4.26023,4.551926
98,0.84006345,0.7921727,98,0.41654345,0.4623406,1.2830846,1.1167862
99,0.75472146,0.94777095,99,0.8506361,0.6427615,2.6698954,3.124452
100,0.7821733,0.9283197,100,0.4251537,0.2805767,4.2498417,3.2321367
101,0.35781825,0.32197994,101,0.11362108,0.1103341,3.1904361,3.0476909
102,0.48682457,0.5231051,102,0.37559706,0.42222667,4.3365,5.0069942
103,0.7949739,0.587795,103,0.25118026,0.27554113,2.6986816,2.9004292
104,0.8086671,0.8019949,104,0.9117063,0.9974267,4.344002,5.7946672
105,0.71239084,0.6629838,105,0.5751018,0.8058793,3.7096431,4.333951
106,0.7003083,0.6832592,106,0.7140354,0.6575545,5.3929224,4.7237573
107,0.32719815,0.48499852,107,0.5487856,0.75288916,2.8644495,1.7355118
108,0.60205567,0.813886,108,0.8591733,0.92946905,6.405317,5.6076965
109,0.7054011,0.6444979,109,0.274175,0.17769527,2.6438076,1.3040706
110,0.22752485,0.25172138,110,0.120103434,0.13093114,1.9480613,2.4926264
111,0.45916897,0.41389304,111,0.71523744,0.9493295,1.4229534,1.4151924
112,0.46853486,0.4158827,112,0.09165384,0.10166389,5.497743,6.2342367
113,0.7011642,0.7459474,113,0.7193139,0.83258814,2.0238793,1.3485262
114,0.8248193,0.9827415,114,0.15755424,0.13862926,3.131889,2.8534544
115,0.483646,0.49766862,115,0.09332876,0.091765165,4.4241414,4.1797514
116,0.59555215,0.5439803,116,0.28916308,0.33516395,4.3334002,5.0816627
117,0.78099096,0.71533924,117,0.16745897,0.21628612,7.2510185,6.6670194
118,0.7914763,0.8309359,118,0.2016429,0.15514708,5.4779434,6.208827
119,0.7796635,0.7914769,119,0.6929856,0.61349463,6.9046288,6.51464
120,0.5324411,0.43969953,120,0.42376637,0.42144543,2.6439776,1.7647017
121,0.7178022,0.80329776,121,0.22383575,0.21348292,3.2066422,4.0514226
122,0.070276946,0.0682596,122,0.5209116,0.7117303,2.4970903,2.1724565
123,0.21622455,0.23297799,123,0.37230048,0.31350726,2.6869102,2.9741123
124,0.70115876,0.6995477,124,0.5669198,0.47265673,5.0264845,3.859477
125,0.053111434,0.03197944,125,0.50346893,0.44225878,4.5843964,4.4250054
126,0.82510644,0.8849651,126,0.8631195,0.80009,4.9871893,5.101509
127,0.5156394,0.5695764,127,0.89400595,0.9195581,6.7746983,6.1201105
128,0.6674388,0.49144763,128,0.8691345,0.8219159,6.0458755,6.219895
129,0.69770294,0.5895769,129,0.28382793,0.19196099,6.034657,5.313727
130,0.58615834,0.5520789,130,0.25162226,0.23646152,2.5406663,2.8327122
131,0.64114803,0.8423638,131,0.65034854,0.7129989,4.3310547,3.8004036
132,0.102434024,0.1568532,132,0.5306597,0.50599456,4.4487243,4.105907
133,0.5242865,0.88561016,133,0.49387398,0.40823328,5.202575,5.6169386
134,0.75955665,0.8244655,134,0.75599265,0.8354469,2.7262313,3.191083
135,0.34549624,0.39416164,135,0.28413942,0.18952823,5.4494267,5.241307
136,0.76986635,0.77433014,136,0.46560737,0.7891364,1.7937862,1.3026912
137,0.3733029,0.37098742,137,0.16444936,0.21120882,5.073391,5.206638
138,0.4027779,0.3102559,138,0.6790034,0.6045131,5.0664883,5.4306736
139,0.8627407,0.92562777,139,0.84955335,0.9483947,4.9326296,5.357484
140,0.3101278,0.43864578,140,0.1980072,0.20184875,5.253117,4.986393
141,0.46511135,0.4357667,141,0.48541963,0.44985944,1.6307487,1.5708878
142,0.6022077,0.73840046,142,0.3711464,0.31416655,4.503584,3.6223493
143,0.7586523,0.7092387,143,0.36840764,0.6700034,2.3627703,1.0153322
144,0.5563992,0.7091155,144,0.38140374,0.12176281,1.3115884,1.318253
145,0.8523364,0.769936,145,0.42735773,0.40373892,2.8019326,3.2524927
146,0.3766216,0.34815544,146,0.5902598,0.4930259,4.21025,3.952758
147,0.7885115,0.62197953,147,0.1851297,0.127343,3.519669,3.1698322
148,0.55461484,0.47474438,148,0.106475785,0.13847655,4.0409126,3.9726393
149,0.44749758,0.6603199,149,0.81919616,0.96255827,2.9785118,2.3155107
150,0.3230143,0.47119337,150,0.6721584,0.5916833,5.102418,6.1801972
151,0.52623445,0.67353314,151,0.84260106,0.90289515,6.2185254,4.6937156
152,0.74765944,0.84417886,152,0.5882707,0.5289569,5.5875883,6.898676
153,0.050619468,0.033743322,153,0.2555624,0.17102677,1.765102,1.6959345
154,0.23979521,0.19078708,154,0.09448023,0.092933476,3.3451254,3.6299314
155,0.042072814,0.010759056,155,0.3769098,0.25333142,2.7751396,2.401126
156,0.37731963,0.5926642,156,0.8746493,0.9681115,5.520641,6.418481
157,0.39569825,0.60807997,157,0.72418666,0.84039885,3.1689243,2.8884254
158,0.40762475,0.28435314,158,0.1019862,0.1018582,5.812909,5.9584913
159,0.32920143,0.12439245,159,0.20844094,0.17162853,3.0243154,2.082996
160,0.31301102,0.31767952,160,0.7297112,0.68335223,2.7084672,3.261658
161,0.40224364,0.79186755,161,0.65731466,0.5603237,1.5784013,1.0076082
162,0.6585294,0.65564334,162,0.11908433,0.14352196,5.320653,5.8104715
163,0.23158494,0.3057636,163,0.75409937,0.60866076,4.695233,5.002108
164,0.5096878,0.3902046,164,0.60735005,0.5230079,6.526095,6.6317034
165,0.27780506,0.33997792,165,0.5037629,0.3792081,2.9867516,2.6897151
166,0.50821376,0.6160885,166,0.86476576,0.85327333,4.2592244,3.7582557
167,0.40705732,0.34397197,167,0.16717733,0.03246045,1.5590688,2.3476455
168,0.107030794,0.10921538,168,0.42308453,0.48701835,4.798456,4.926718
169,0.19028403,0.20654404,169,0.15452957,0.12603575,2.6730878,2.800082
170,0.8446648,0.7668685,170,0.6327007,0.73001724,3.4138255,3.488738
171,0.71496606,0.6841495,171,0.5556559,0.3450871,2.050892,2.6080773
172,0.40728912,0.46914387,172,0.6254905,0.6414451,3.8528106,5.1977277
173,0.49528912,0.20216233,173,0.4629366,0.46428233,5.5078564,5.917161
174,0.79867625,0.9997096,174,0.24309453,0.20557904,2.6472056,2.3381581
175,0.029143425,0.017039537,175,0.64601624,0.692314,6.663146,6.9057856
176,0.3752987,0.19541204,176,0.21127939,0.23098022,4.0040493,3.726706
177,0.34692472,0.24998248,177,0.6165084,0.5443204,6.8019533,5.5984883
178,0.25989094,0.36521387,178,0.68241566,0.7657334,5.872525,5.8052597
179,0.7724623,0.7530239,179,0.20122156,0.23312622,2.8138628,3.662056
180,0.46907905,0.36372983,180,0.15799244,0.1960355,5.300424,5.387065
181,0.81805015,0.9415468,181,0.1030645,0.11503309,6.366857,6.9710484
182,0.08281274,0.062391758,182,0.41366786,0.3750096,1.3891145,1.6581079
183,0.6845715,0.7205798,183,0.6595048,0.6710657,5.883669,6.946259
184,0.33065546,0.37658632,184,0.26690912,0.23271036,7.1163173,6.674098
185,0.33949658,0.7280147,185,0.00970995,0.0011375546,3.090668,3.7954364
186,0.062432624,0.097307205,186,0.67757833,0.8923802,2.231128,2.3715487
187,0.38523236,0.47809267,187,0.1221082,0.11019349,5.8813643,5.798073
