,subject,rewarded common,rewarded rare,unrewarded common,unrewarded rare
0,0,0.9259259259259259,0.5882352941176471,0.7383177570093458,0.6744186046511628
0,1,1.0,0.7272727272727273,0.7678571428571429,0.8205128205128205
0,2,0.5769230769230769,0.5333333333333333,0.5596330275229358,0.6444444444444445
0,3,0.8333333333333334,0.9375,0.8557692307692307,0.8297872340425532
0,4,0.9032258064516129,0.6,0.7685185185185185,0.7959183673469388
0,5,0.65625,0.7,0.6666666666666666,0.7551020408163265
0,6,0.918918918918919,0.5294117647058824,0.7142857142857143,0.7021276595744681
0,7,0.5172413793103449,0.5,0.5188679245283019,0.5714285714285714
0,8,0.9032258064516129,0.5333333333333333,0.7623762376237624,0.7735849056603774
0,9,0.7878787878787878,0.6428571428571429,0.5728155339805825,0.6808510638297872
0,10,1.0,0.5833333333333334,0.7714285714285715,0.8627450980392157
0,11,0.925,0.9,0.76,0.6976744186046512
0,12,1.0,0.6666666666666666,0.6730769230769231,0.8653846153846154
0,13,0.8974358974358975,0.6923076923076923,0.6842105263157895,0.86
0,14,0.8461538461538461,0.6875,0.7333333333333333,0.8
0,15,0.8378378378378378,0.6428571428571429,0.6666666666666666,0.6666666666666666
0,16,0.8717948717948718,0.6666666666666666,0.7692307692307693,0.8421052631578947
0,17,0.696969696969697,0.25,0.71,0.7454545454545455
0,18,1.0,0.8571428571428571,0.8095238095238095,0.851063829787234
0,19,0.7441860465116279,0.6363636363636364,0.5816326530612245,0.5714285714285714
0,20,0.5151515151515151,0.8666666666666667,0.6153846153846154,0.7619047619047619
0,21,0.625,0.45454545454545453,0.47368421052631576,0.5476190476190477
0,22,0.9,0.8181818181818182,0.7523809523809524,0.8636363636363636
0,23,0.9642857142857143,0.4166666666666667,0.7685185185185185,0.6862745098039216
0,24,0.4666666666666667,0.35714285714285715,0.5283018867924528,0.4791666666666667
0,25,0.9428571428571428,0.9285714285714286,0.7857142857142857,0.8846153846153846
0,26,0.8064516129032258,0.65,0.6090909090909091,0.5128205128205128
0,27,0.9230769230769231,0.5,0.8020833333333334,0.6078431372549019
0,28,0.71875,0.5294117647058824,0.6203703703703703,0.6
0,29,0.65625,0.75,0.6272727272727273,0.6304347826086957
0,30,0.8421052631578947,0.7857142857142857,0.6595744680851063,0.7924528301886793
0,31,0.4117647058823529,0.5384615384615384,0.45454545454545453,0.5476190476190477
0,32,0.7241379310344828,0.5833333333333334,0.6106194690265486,0.46511627906976744
0,33,0.8636363636363636,0.6666666666666666,0.77,0.775
0,34,0.4186046511627907,0.4444444444444444,0.44047619047619047,0.4864864864864865
0,35,0.9117647058823529,0.9333333333333333,0.8787878787878788,0.8823529411764706
0,36,0.6756756756756757,0.5,0.5686274509803921,0.5957446808510638
0,37,0.9090909090909091,0.8333333333333334,0.75,0.6530612244897959
0,38,0.9772727272727273,0.7692307692307693,0.7904761904761904,0.8108108108108109
0,39,0.696969696969697,0.8,0.6363636363636364,0.7636363636363637
0,40,0.8235294117647058,0.7777777777777778,0.6415094339622641,0.625
0,41,0.3939393939393939,0.4,0.6021505376344086,0.48148148148148145
0,42,0.6944444444444444,0.7777777777777778,0.7641509433962265,0.8260869565217391
0,43,0.9629629629629629,0.7619047619047619,0.7117117117117117,0.75
0,44,0.6153846153846154,0.5,0.4864864864864865,0.5116279069767442
0,45,0.9523809523809523,0.5,0.6590909090909091,0.5490196078431373
0,46,0.8823529411764706,0.5882352941176471,0.7373737373737373,0.7105263157894737
0,47,0.9032258064516129,0.6363636363636364,0.7448979591836735,0.9347826086956522
0,48,0.8,1.0,0.6330275229357798,0.7884615384615384
0,49,0.6551724137931034,0.6666666666666666,0.6239316239316239,0.6341463414634146
0,50,0.8913043478260869,0.6666666666666666,0.7128712871287128,0.7073170731707317
0,51,0.47058823529411764,0.5,0.5268817204301075,0.5333333333333333
0,52,0.8333333333333334,0.36363636363636365,0.6074766355140186,0.5111111111111111
0,53,0.7142857142857143,0.8888888888888888,0.5294117647058824,0.48148148148148145
0,54,0.9285714285714286,0.8,0.7142857142857143,0.7735849056603774
0,55,0.631578947368421,0.45454545454545453,0.5420560747663551,0.4523809523809524
0,56,0.9354838709677419,0.7333333333333333,0.7238095238095238,0.875
0,57,0.96875,1.0,0.9130434782608695,0.9302325581395349
0,58,1.0,0.46153846153846156,0.7272727272727273,0.7727272727272727
0,59,0.9777777777777777,0.7142857142857143,0.8316831683168316,0.975
0,60,0.6363636363636364,0.4666666666666667,0.5638297872340425,0.5535714285714286
0,61,0.8571428571428571,0.8,0.797752808988764,0.6428571428571429
0,62,0.8529411764705882,0.3333333333333333,0.5462962962962963,0.6829268292682927
0,63,0.78125,0.6470588235294118,0.68,0.6363636363636364
0,64,0.8857142857142857,0.7692307692307693,0.8095238095238095,0.9574468085106383
0,65,0.78125,0.3076923076923077,0.59375,0.509090909090909
0,66,1.0,0.8823529411764706,0.8558558558558559,0.925
0,67,1.0,0.8823529411764706,0.8383838383838383,0.9
0,68,0.7058823529411765,0.4444444444444444,0.5462962962962963,0.6808510638297872
0,69,0.5,0.6,0.5660377358490566,0.6136363636363636
0,70,0.9310344827586207,0.5454545454545454,0.6792452830188679,0.72
0,71,0.8571428571428571,0.5,0.7065217391304348,0.6071428571428571
0,72,0.875,0.18181818181818182,0.6306306306306306,0.6428571428571429
0,73,0.8666666666666667,0.7777777777777778,0.7830188679245284,0.7307692307692307
0,74,0.9696969696969697,0.7,0.8055555555555556,0.7872340425531915
0,75,0.7878787878787878,0.5,0.4909090909090909,0.5238095238095238
0,76,0.8125,0.5454545454545454,0.7589285714285714,0.813953488372093
0,77,0.9767441860465116,0.0,0.6565656565656566,0.4888888888888889
0,78,0.7666666666666667,0.6363636363636364,0.5168539325842697,0.5116279069767442
0,79,0.4117647058823529,0.5294117647058824,0.45918367346938777,0.375
0,80,0.8484848484848485,0.6875,0.7870370370370371,0.8604651162790697
0,81,0.9642857142857143,0.23529411764705882,0.5607476635514018,0.7380952380952381
0,82,0.65625,0.6363636363636364,0.46226415094339623,0.42857142857142855
0,83,0.9459459459459459,0.25,0.5742574257425742,0.6818181818181818
0,84,0.42857142857142855,0.4666666666666667,0.5050505050505051,0.48
0,85,0.4473684210526316,0.7333333333333333,0.6090909090909091,0.43243243243243246
0,86,0.8378378378378378,0.7692307692307693,0.580952380952381,0.6363636363636364
0,87,0.9696969696969697,0.5,0.6574074074074074,0.8775510204081632
0,88,0.71875,0.6875,0.826530612244898,0.7209302325581395
0,89,0.5151515151515151,0.36363636363636365,0.53,0.5333333333333333
0,90,0.967741935483871,0.36363636363636365,0.5673076923076923,0.8113207547169812
0,91,0.8125,0.4,0.47706422018348627,0.6530612244897959
0,92,0.6060606060606061,0.7142857142857143,0.5137614678899083,0.6585365853658537
0,93,1.0,0.9375,0.8617021276595744,0.9344262295081968
0,94,0.9459459459459459,0.5454545454545454,0.7735849056603774,0.7608695652173914
0,95,0.7586206896551724,0.6153846153846154,0.6071428571428571,0.7954545454545454
0,96,0.8709677419354839,0.8,0.6371681415929203,0.5609756097560976
0,97,1.0,1.0,1.0,1.0
0,98,0.9655172413793104,0.5454545454545454,0.6194690265486725,0.7441860465116279
0,99,0.9696969696969697,0.8,0.8899082568807339,0.7714285714285715
0,100,0.4857142857142857,0.5555555555555556,0.5428571428571428,0.631578947368421
0,101,0.9,0.9,0.7521367521367521,0.8809523809523809
0,102,0.6363636363636364,0.8666666666666667,0.5137614678899083,0.5609756097560976
0,103,0.6363636363636364,0.5882352941176471,0.6055045871559633,0.425
0,104,0.8888888888888888,0.9444444444444444,0.72,0.8181818181818182
0,105,0.7906976744186046,0.5625,0.7474747474747475,0.6097560975609756
0,106,0.5,0.23076923076923078,0.46296296296296297,0.3870967741935484
0,107,0.6052631578947368,0.9,0.6116504854368932,0.5714285714285714
0,108,0.45714285714285713,0.5333333333333333,0.3939393939393939,0.6170212765957447
0,109,0.8888888888888888,0.5,0.7766990291262136,0.7872340425531915
0,110,0.7333333333333333,0.6,0.5847457627118644,0.46153846153846156
0,111,0.967741935483871,0.8333333333333334,0.8073394495412844,0.8163265306122449
0,112,0.5384615384615384,0.6666666666666666,0.5510204081632653,0.47619047619047616
0,113,0.9666666666666667,0.5,0.8113207547169812,0.9
0,114,0.3235294117647059,0.5,0.5855855855855856,0.6666666666666666
0,115,0.3939393939393939,0.7333333333333333,0.6435643564356436,0.5686274509803921
0,116,0.6285714285714286,0.6666666666666666,0.5431034482758621,0.5675675675675675
0,118,0.5789473684210527,0.4117647058823529,0.5588235294117647,0.5384615384615384
0,119,0.5483870967741935,0.5294117647058824,0.48,0.56
0,120,0.42424242424242425,0.35714285714285715,0.5175438596491229,0.4117647058823529
0,121,0.7222222222222222,0.7272727272727273,0.4125,0.5714285714285714
0,122,0.9375,0.6666666666666666,0.6213592233009708,0.9411764705882353
0,123,0.9393939393939394,0.2,0.5,0.6851851851851852
0,124,0.5666666666666667,0.2727272727272727,0.3977272727272727,0.3548387096774194
0,125,1.0,0.5294117647058824,0.6086956521739131,0.9636363636363636
0,126,0.875,0.875,0.8571428571428571,0.9090909090909091
0,127,0.8571428571428571,0.5555555555555556,0.5841584158415841,0.6923076923076923
0,128,1.0,1.0,1.0,1.0
0,129,0.5806451612903226,0.3076923076923077,0.5145631067961165,0.5681818181818182
0,130,0.48484848484848486,0.7857142857142857,0.4528301886792453,0.6341463414634146
0,131,0.9722222222222222,0.9090909090909091,0.94,0.8846153846153846
0,132,0.9375,0.05555555555555555,0.6355140186915887,0.7073170731707317
0,133,1.0,0.35714285714285715,0.7238095238095238,0.7954545454545454
0,134,0.7142857142857143,0.375,0.6355140186915887,0.6041666666666666
0,135,0.8888888888888888,0.7692307692307693,0.8787878787878788,0.8297872340425532
0,136,0.7692307692307693,0.6428571428571429,0.37962962962962965,0.5
0,137,1.0,0.5,0.6410256410256411,0.9
0,138,0.8666666666666667,0.7272727272727273,0.6237623762376238,0.7291666666666666
0,139,0.8064516129032258,0.5,0.6481481481481481,0.5531914893617021
0,140,0.8235294117647058,0.7777777777777778,0.61,0.723404255319149
0,141,0.6785714285714286,0.5714285714285714,0.6851851851851852,0.6956521739130435
0,142,0.9444444444444444,0.5714285714285714,0.6732673267326733,0.8260869565217391
0,143,0.9666666666666667,0.125,0.6542056074766355,0.5555555555555556
0,144,0.5263157894736842,0.14285714285714285,0.39759036144578314,0.5333333333333333
0,145,0.71875,0.6,0.5420560747663551,0.5909090909090909
0,146,0.782608695652174,0.5,0.5370370370370371,0.5416666666666666
0,147,0.8275862068965517,0.5,0.5462184873949579,0.6744186046511628
0,148,0.9411764705882353,0.9285714285714286,0.8613861386138614,0.6938775510204082
0,149,1.0,0.375,0.6981132075471698,0.75
0,150,0.8918918918918919,0.2222222222222222,0.5754716981132075,0.723404255319149
0,151,0.8918918918918919,1.0,0.9166666666666666,0.7924528301886793
0,152,0.9393939393939394,0.25,0.6434782608695652,0.8
0,153,0.5428571428571428,0.46153846153846156,0.5,0.5102040816326531
0,154,0.5833333333333334,0.7142857142857143,0.5257731958762887,0.5416666666666666
0,155,0.6176470588235294,0.7058823529411765,0.6210526315789474,0.7115384615384616
0,156,0.45161290322580644,0.38461538461538464,0.4915254237288136,0.5294117647058824
0,157,0.918918918918919,0.5454545454545454,0.6907216494845361,0.7959183673469388
0,158,0.45454545454545453,0.36363636363636365,0.4049586776859504,0.5897435897435898
0,159,1.0,0.9473684210526315,0.87,0.7021276595744681
0,160,0.9302325581395349,0.5454545454545454,0.7169811320754716,0.7368421052631579
0,161,0.8125,1.0,0.7631578947368421,0.7894736842105263
0,162,0.9090909090909091,0.7272727272727273,0.8118811881188119,0.8846153846153846
0,163,0.48148148148148145,0.2,0.5084745762711864,0.5526315789473685
0,164,0.6451612903225806,0.7,0.6588235294117647,0.7446808510638298
0,165,0.5428571428571428,0.9,0.46,0.52
0,166,0.9032258064516129,0.7,0.7129629629629629,0.7142857142857143
0,167,0.7560975609756098,0.6666666666666666,0.6868686868686869,0.717948717948718
0,168,0.47058823529411764,0.2,0.5,0.4878048780487805
0,169,0.7941176470588235,0.5454545454545454,0.6846846846846847,0.7435897435897436
0,170,0.9117647058823529,0.5714285714285714,0.8505747126436781,0.5614035087719298
0,171,0.3939393939393939,0.8,0.5638297872340425,0.5849056603773585
0,172,0.9512195121951219,1.0,0.9405940594059405,0.8571428571428571
0,173,0.9705882352941176,0.75,0.6576576576576577,0.4634146341463415
0,174,0.9736842105263158,0.2857142857142857,0.7156862745098039,0.8536585365853658
0,175,0.5517241379310345,0.5833333333333334,0.5327102803738317,0.6041666666666666
0,176,0.5769230769230769,0.7333333333333333,0.5051546391752577,0.6153846153846154
0,177,0.38235294117647056,0.4444444444444444,0.46153846153846156,0.4423076923076923
0,178,0.9459459459459459,0.8,0.8415841584158416,0.8695652173913043
0,179,1.0,0.42857142857142855,0.7796610169491526,0.8181818181818182
0,180,1.0,1.0,0.8762886597938144,1.0
0,181,0.631578947368421,0.9230769230769231,0.5094339622641509,0.7380952380952381
0,182,0.6153846153846154,0.625,0.6699029126213593,0.5
0,183,0.875,0.8888888888888888,0.782608695652174,0.7857142857142857
0,184,0.3333333333333333,0.3333333333333333,0.4144144144144144,0.3783783783783784
0,185,0.9230769230769231,0.75,0.7787610619469026,0.8837209302325582
0,186,1.0,0.25,0.6836734693877551,0.8541666666666666
0,187,0.9354838709677419,0.45454545454545453,0.5535714285714286,0.6888888888888889
0,188,0.875,0.6153846153846154,0.5106382978723404,0.7441860465116279
